,filename,label
0,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/German_Khan/German_Khan_0001.jpg,0
1,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Stefano_Gabbana/Stefano_Gabbana_0001.jpg,1
2,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Dragan_Covic/Dragan_Covic_0001.jpg,2
3,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Jeff_Hornacek/Jeff_Hornacek_0001.jpg,3
4,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Sureyya_Ayhan/Sureyya_Ayhan_0001.jpg,4
5,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Deb_Santos/Deb_Santos_0001.jpg,5
6,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Bob_Newhart/Bob_Newhart_0001.jpg,6
7,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Wang_Hailan/Wang_Hailan_0001.jpg,7
8,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Paul_McNulty/Paul_McNulty_0002.jpg,8
9,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Paul_McNulty/Paul_McNulty_0001.jpg,8
10,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Jimmy_Iovine/Jimmy_Iovine_0001.jpg,9
11,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Claudia_Pechstein/Claudia_Pechstein_0001.jpg,10
12,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Claudia_Pechstein/Claudia_Pechstein_0003.jpg,10
13,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Claudia_Pechstein/Claudia_Pechstein_0002.jpg,10
14,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Claudia_Pechstein/Claudia_Pechstein_0005.jpg,10
15,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Claudia_Pechstein/Claudia_Pechstein_0004.jpg,10
16,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Ranil_Wickremasinghe/Ranil_Wickremasinghe_0002.jpg,11
17,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Ranil_Wickremasinghe/Ranil_Wickremasinghe_0003.jpg,11
18,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Ranil_Wickremasinghe/Ranil_Wickremasinghe_0001.jpg,11
19,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Ben_Chandler/Ben_Chandler_0001.jpg,12
20,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Mark_Komara/Mark_Komara_0001.jpg,13
21,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Rand_Beers/Rand_Beers_0001.jpg,14
22,/Users/kococo/code/Tensorflow_Electron/server/dataset/lfw/Joanne_Woodward/Joanne_Woodward_0001.jpg,15
